Gate,X Parameter,Y Parameter,Count,%Total,%Gated
mCh+,YL2-A,,1,0.010,0.389
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,257,2.570,2.570
R1,FSC-H,SSC-H,257,2.570,2.570
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,19,0.190,7.393
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.389
mCherry-/GFP-,YL2-A,BL1-A,234,2.340,91.051
mCherry+/GFP-,YL2-A,BL1-A,3,0.030,1.167
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,257,2.570,2.570
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,12,0.120,0.120
R3,BL1-A,YL2-A,12,0.120,66.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,18,0.180,0.180
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,257,2.570,2.570
LG1,,,1,0.010,0.010
GFP+,BL1-A,,81,0.810,28.028
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,289,2.890,2.890
mCh+,YL2-A,,3,0.030,1.038
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,289,2.890,2.890
R1,FSC-H,SSC-H,289,2.890,2.890
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,83,0.830,28.720
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.346
mCherry-/GFP-,YL2-A,BL1-A,195,1.950,67.474
mCherry+/GFP-,YL2-A,BL1-A,10,0.100,3.460
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,289,2.890,2.890
R2,BL1-A,YL2-A,3,0.030,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,3,0.030,0.030
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,3,0.030,0.030
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,71,0.710,0.710
R3,BL1-A,YL2-A,71,0.710,87.654
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,81,0.810,0.810
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,289,2.890,2.890
LG1,,,3,0.030,0.030
GFP+,BL1-A,,65,0.650,41.401
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,157,1.570,1.570
mCh+,YL2-A,,2,0.020,1.274
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,157,1.570,1.570
R1,FSC-H,SSC-H,157,1.570,1.570
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,66,0.660,42.038
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.637
mCherry-/GFP-,YL2-A,BL1-A,80,0.800,50.955
mCherry+/GFP-,YL2-A,BL1-A,10,0.100,6.369
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,157,1.570,1.570
R2,BL1-A,YL2-A,2,0.020,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,52,0.520,0.520
R3,BL1-A,YL2-A,52,0.520,80.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,65,0.650,0.650
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,157,1.570,1.570
LG1,,,2,0.020,0.020
GFP+,BL1-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3,0.030,0.030
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3,0.030,0.030
R1,FSC-H,SSC-H,3,0.030,0.030
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,2,0.020,66.667
mCherry+/GFP-,YL2-A,BL1-A,1,0.010,33.333
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3,0.030,0.030
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,0,0.000,0.000
R3,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,0,0.000,0.000
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3,0.030,0.030
LG1,,,0,0.000,0.000
